team_name,dist_bin,half,vol,goal_c,reb_c,recov_c,exit_c,freeze_c,xG_sum,goal_rate,reb_rate,recov_rate,exit_rate,freeze_rate,xG_rate,is_imputed,Entry_Value_Constant,FO_Equity_Constant,Exit_Penalty_Constant,reb_yield_constant
Anaheim Ducks,54-60 ft,1st,97,2,4,23,21,35,1.40292613,0.0206185567010309,0.0412371134020618,0.2371134020618556,0.2164948453608247,0.3608247422680412,0.0144631559793814,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,54-60 ft,2nd,84,5,6,13,21,29,1.14539709,0.0595238095238095,0.0714285714285714,0.1547619047619047,0.25,0.3452380952380952,0.0136356796428571,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,54-60 ft,Whole,181,7,10,36,42,64,2.54832322,0.0386740331491712,0.0552486187845303,0.1988950276243093,0.2320441988950276,0.3535911602209944,0.0140791338121546,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,6-12 ft,1st,125,9,18,22,42,25,14.792363,0.072,0.144,0.176,0.336,0.2,0.118338904,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,6-12 ft,2nd,146,20,21,20,32,42,17.210768,0.136986301369863,0.1438356164383561,0.136986301369863,0.2191780821917808,0.2876712328767123,0.1178819726027397,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,6-12 ft,Whole,271,29,39,42,74,67,32.003131,0.1070110701107011,0.1439114391143911,0.1549815498154981,0.2730627306273063,0.2472324723247232,0.1180927343173431,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,60-66 ft,1st,51,1,2,9,11,20,0.57638684,0.0196078431372549,0.0392156862745098,0.1764705882352941,0.2156862745098039,0.392156862745098,0.011301702745098,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,60-66 ft,2nd,42,2,2,5,9,14,0.43847961,0.0476190476190476,0.0476190476190476,0.119047619047619,0.2142857142857142,0.3333333333333333,0.0104399907142857,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,60-66 ft,Whole,93,3,4,14,20,34,1.01486645,0.032258064516129,0.043010752688172,0.1505376344086021,0.2150537634408602,0.3655913978494624,0.0109125424731182,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,66-72 ft,1st,20,1,1,3,4,9,0.17288149,0.0437308868501529,0.0443425076452599,0.1617737003058104,0.2232415902140673,0.4211009174311926,0.0112745064984709,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,66-72 ft,2nd,17,0,1,2,6,5,0.15381278,0.0143250688705234,0.0512396694214876,0.1356060606060606,0.3360881542699724,0.3036501377410468,0.012154813995179,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,66-72 ft,Whole,37,1,2,5,10,14,0.32669427,0.027027027027027,0.054054054054054,0.1351351351351351,0.2702702702702703,0.3783783783783784,0.0088295748648648,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,72-99 ft,1st,78,0,0,10,30,28,0.66348946,0.0,0.0,0.1282051282051282,0.3846153846153846,0.358974358974359,0.0085062751282051,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,72-99 ft,2nd,78,1,1,6,38,17,0.66052881,0.0128205128205128,0.0128205128205128,0.0769230769230769,0.4871794871794871,0.2179487179487179,0.008468318076923,0,0.052072,0.02307,0.026036,0.09
Anaheim Ducks,72-99 ft,Whole,156,1,1,16,68,45,1.32401827,0.0064102564102564,0.0064102564102564,0.1025641025641025,0.4358974358974359,0.2884615384615384,0.0084872966025641,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,0-6 ft,1st,17,2,0,4,3,5,1.9474763,0.1248756218905472,0.0215588723051409,0.2087893864013267,0.2444444444444444,0.2615257048092869,0.1115256897927031,0,0.052072,0.02307,0.026036,0.09
Arizona Coyotes,0-6 ft,2nd,10,2,0,5,1,2,1.4125119,0.1611111111111111,0.0611111111111111,0.3194444444444444,0.1861111111111111,0.2083333333333333,0.1191118786111111,1,0.052072,0.02307,0.026036,0.09
