team_name,shooter_bin,rebound_bin,half,scaled_rebound_prob,is_imputed
Anaheim Ducks,12-18 ft,66-72 ft,Whole,0.00045924225028702646,0
Anaheim Ducks,12-18 ft,72-99 ft,Whole,0.00034443168771526985,0
Anaheim Ducks,18-24 ft,0-6 ft,1st,0.003405572755417957,0
Anaheim Ducks,18-24 ft,12-18 ft,1st,0.008978328173374612,0
Anaheim Ducks,18-24 ft,18-24 ft,1st,0.0046439628482972135,0
Anaheim Ducks,18-24 ft,24-30 ft,1st,0.00196078431372549,0
Anaheim Ducks,18-24 ft,30-36 ft,1st,0.0009287925696594427,0
Anaheim Ducks,18-24 ft,36-42 ft,1st,0.0022703818369453044,0
Anaheim Ducks,18-24 ft,42-48 ft,1st,0.0014447884416924663,0
Anaheim Ducks,18-24 ft,48-54 ft,1st,0.0014447884416924663,0
Anaheim Ducks,18-24 ft,54-60 ft,1st,0.0017543859649122805,0
Anaheim Ducks,18-24 ft,6-12 ft,1st,0.02373581011351909,0
Anaheim Ducks,18-24 ft,60-66 ft,1st,0.0010319917440660474,0
Anaheim Ducks,18-24 ft,66-72 ft,1st,0.0003095975232198142,0
Anaheim Ducks,18-24 ft,72-99 ft,1st,0.0007223942208462331,0
Anaheim Ducks,18-24 ft,0-6 ft,2nd,0.004372019077901431,0
Anaheim Ducks,18-24 ft,12-18 ft,2nd,0.01152623211446741,0
Anaheim Ducks,18-24 ft,18-24 ft,2nd,0.005961844197138315,0
Anaheim Ducks,18-24 ft,24-30 ft,2nd,0.0025172231054583997,0
Anaheim Ducks,18-24 ft,30-36 ft,2nd,0.001192368839427663,0
Anaheim Ducks,18-24 ft,36-42 ft,2nd,0.0029146793852676206,0
Anaheim Ducks,18-24 ft,42-48 ft,2nd,0.0018547959724430313,0
Anaheim Ducks,18-24 ft,48-54 ft,2nd,0.0018547959724430313,0
Anaheim Ducks,18-24 ft,54-60 ft,2nd,0.0022522522522522522,0
Anaheim Ducks,18-24 ft,6-12 ft,2nd,0.030471648118706944,0
Anaheim Ducks,18-24 ft,60-66 ft,2nd,0.0013248542660307366,0
Anaheim Ducks,18-24 ft,66-72 ft,2nd,0.000397456279809221,0
Anaheim Ducks,18-24 ft,72-99 ft,2nd,0.0009273979862215156,0
Anaheim Ducks,18-24 ft,0-6 ft,Whole,0.0037859824780976225,0
Anaheim Ducks,18-24 ft,12-18 ft,Whole,0.009981226533166458,0
Anaheim Ducks,18-24 ft,18-24 ft,Whole,0.005162703379224031,0
Anaheim Ducks,18-24 ft,24-30 ft,Whole,0.002179808093450146,0
Anaheim Ducks,18-24 ft,30-36 ft,Whole,0.001032540675844806,0
Anaheim Ducks,18-24 ft,36-42 ft,Whole,0.002523988318731748,0
Anaheim Ducks,18-24 ft,42-48 ft,Whole,0.0016061743846474761,0
Anaheim Ducks,18-24 ft,48-54 ft,Whole,0.0016061743846474761,0
Anaheim Ducks,18-24 ft,54-60 ft,Whole,0.001950354609929078,0
Anaheim Ducks,18-24 ft,6-12 ft,Whole,0.026387150604922822,0
Anaheim Ducks,18-24 ft,60-66 ft,Whole,0.00114726741760534,0
Anaheim Ducks,18-24 ft,66-72 ft,Whole,0.000344180225281602,0
Anaheim Ducks,18-24 ft,72-99 ft,Whole,0.0008030871923237381,0
Anaheim Ducks,24-30 ft,0-6 ft,1st,0.0046956521739130435,0
Anaheim Ducks,24-30 ft,12-18 ft,1st,0.016,0
Anaheim Ducks,24-30 ft,18-24 ft,1st,0.006956521739130435,0
Anaheim Ducks,24-30 ft,24-30 ft,1st,0.0071304347826086955,0
Anaheim Ducks,24-30 ft,30-36 ft,1st,0.004,0
Anaheim Ducks,24-30 ft,36-42 ft,1st,0.002434782608695652,0
Anaheim Ducks,24-30 ft,42-48 ft,1st,0.002434782608695652,0
Anaheim Ducks,24-30 ft,48-54 ft,1st,0.0019130434782608694,0
Anaheim Ducks,24-30 ft,54-60 ft,1st,0.0019130434782608694,0
Anaheim Ducks,24-30 ft,6-12 ft,1st,0.03669565217391304,0
Anaheim Ducks,24-30 ft,60-66 ft,1st,0.001217391304347826,0
Anaheim Ducks,24-30 ft,66-72 ft,1st,0.0006956521739130435,0
Anaheim Ducks,24-30 ft,72-99 ft,1st,0.0008695652173913044,0
Anaheim Ducks,24-30 ft,0-6 ft,2nd,0.00432,0
Anaheim Ducks,24-30 ft,12-18 ft,2nd,0.01472,0
Anaheim Ducks,24-30 ft,18-24 ft,2nd,0.0064,0
Anaheim Ducks,24-30 ft,24-30 ft,2nd,0.006560000000000001,0
Anaheim Ducks,24-30 ft,30-36 ft,2nd,0.00368,0
Anaheim Ducks,24-30 ft,36-42 ft,2nd,0.0022400000000000002,0
Anaheim Ducks,24-30 ft,42-48 ft,2nd,0.0022400000000000002,0
Anaheim Ducks,24-30 ft,48-54 ft,2nd,0.0017599999999999998,0
Anaheim Ducks,24-30 ft,54-60 ft,2nd,0.0017599999999999998,0
Anaheim Ducks,24-30 ft,6-12 ft,2nd,0.03376,0
Anaheim Ducks,24-30 ft,60-66 ft,2nd,0.0011200000000000001,0
Anaheim Ducks,24-30 ft,66-72 ft,2nd,0.00064,0
Anaheim Ducks,24-30 ft,72-99 ft,2nd,0.0008,0
Anaheim Ducks,24-30 ft,0-6 ft,Whole,0.00452093023255814,0
Anaheim Ducks,24-30 ft,12-18 ft,Whole,0.015404651162790698,0
Anaheim Ducks,24-30 ft,18-24 ft,Whole,0.006697674418604652,0
Anaheim Ducks,24-30 ft,24-30 ft,Whole,0.006865116279069767,0
Anaheim Ducks,24-30 ft,30-36 ft,Whole,0.0038511627906976744,0
Anaheim Ducks,24-30 ft,36-42 ft,Whole,0.0023441860465116277,0
Anaheim Ducks,24-30 ft,42-48 ft,Whole,0.0023441860465116277,0
Anaheim Ducks,24-30 ft,48-54 ft,Whole,0.001841860465116279,0
Anaheim Ducks,24-30 ft,54-60 ft,Whole,0.001841860465116279,0
Anaheim Ducks,24-30 ft,6-12 ft,Whole,0.03533023255813953,0
Anaheim Ducks,24-30 ft,60-66 ft,Whole,0.0011720930232558139,0
Anaheim Ducks,24-30 ft,66-72 ft,Whole,0.0006697674418604651,0
Anaheim Ducks,24-30 ft,72-99 ft,Whole,0.0008372093023255815,0
Anaheim Ducks,30-36 ft,0-6 ft,1st,0.0057168458781362,0
Anaheim Ducks,30-36 ft,12-18 ft,1st,0.01596774193548387,0
Anaheim Ducks,30-36 ft,18-24 ft,1st,0.008476702508960572,0
Anaheim Ducks,30-36 ft,24-30 ft,1st,0.004534050179211469,0
Anaheim Ducks,30-36 ft,30-36 ft,1st,0.004534050179211469,0
Anaheim Ducks,30-36 ft,36-42 ft,1st,0.002168458781362007,0
Anaheim Ducks,30-36 ft,42-48 ft,1st,0.004139784946236558,0
Anaheim Ducks,30-36 ft,48-54 ft,1st,0.0027598566308243725,0
Anaheim Ducks,30-36 ft,54-60 ft,1st,0.0013799283154121863,0
Anaheim Ducks,30-36 ft,6-12 ft,1st,0.035286738351254475,0
Anaheim Ducks,30-36 ft,60-66 ft,1st,0.004336917562724014,0
Anaheim Ducks,30-36 ft,66-72 ft,1st,0.0005913978494623656,0
Anaheim Ducks,30-36 ft,72-99 ft,1st,0.0017741935483870967,0
Anaheim Ducks,30-36 ft,0-6 ft,2nd,0.00575682382133995,0
Anaheim Ducks,30-36 ft,12-18 ft,2nd,0.016079404466501242,0
Anaheim Ducks,30-36 ft,18-24 ft,2nd,0.008535980148883375,0
Anaheim Ducks,30-36 ft,24-30 ft,2nd,0.00456575682382134,0
Anaheim Ducks,30-36 ft,30-36 ft,2nd,0.00456575682382134,0
Anaheim Ducks,30-36 ft,36-42 ft,2nd,0.002183622828784119,0
Anaheim Ducks,30-36 ft,42-48 ft,2nd,0.0041687344913151365,0
Anaheim Ducks,30-36 ft,48-54 ft,2nd,0.0027791563275434247,0
Anaheim Ducks,30-36 ft,54-60 ft,2nd,0.0013895781637717124,0
Anaheim Ducks,30-36 ft,6-12 ft,2nd,0.03553349875930521,0
Anaheim Ducks,30-36 ft,60-66 ft,2nd,0.004367245657568238,0
Anaheim Ducks,30-36 ft,66-72 ft,2nd,0.0005955334987593052,0
Anaheim Ducks,30-36 ft,72-99 ft,2nd,0.0017866004962779158,0
Anaheim Ducks,30-36 ft,0-6 ft,Whole,0.0057376344086021505,0
Anaheim Ducks,30-36 ft,12-18 ft,Whole,0.016025806451612903,0
Anaheim Ducks,30-36 ft,18-24 ft,Whole,0.008507526881720429,0
Anaheim Ducks,30-36 ft,24-30 ft,Whole,0.004550537634408602,0
Anaheim Ducks,30-36 ft,30-36 ft,Whole,0.004550537634408602,0
Anaheim Ducks,30-36 ft,36-42 ft,Whole,0.0021763440860215052,0
Anaheim Ducks,30-36 ft,42-48 ft,Whole,0.004154838709677419,0
Anaheim Ducks,30-36 ft,48-54 ft,Whole,0.0027698924731182797,0
Anaheim Ducks,30-36 ft,54-60 ft,Whole,0.0013849462365591399,0
Anaheim Ducks,30-36 ft,6-12 ft,Whole,0.03541505376344086,0
Anaheim Ducks,30-36 ft,60-66 ft,Whole,0.0043526881720430104,0
Anaheim Ducks,30-36 ft,66-72 ft,Whole,0.0005935483870967742,0
Anaheim Ducks,30-36 ft,72-99 ft,Whole,0.0017806451612903226,0
Anaheim Ducks,36-42 ft,0-6 ft,1st,0.0019941836310760283,0
Anaheim Ducks,36-42 ft,12-18 ft,1st,0.005982550893228085,0
Anaheim Ducks,36-42 ft,18-24 ft,1st,0.003240548400498546,0
Anaheim Ducks,36-42 ft,24-30 ft,1st,0.00307436643124221,0
Anaheim Ducks,36-42 ft,30-36 ft,1st,0.0016618196925633569,0
Anaheim Ducks,36-42 ft,36-42 ft,1st,0.0008309098462816784,0
Anaheim Ducks,36-42 ft,42-48 ft,1st,0.0011632737847943498,0
Anaheim Ducks,36-42 ft,48-54 ft,1st,0.0012463647694225177,0
Anaheim Ducks,36-42 ft,54-60 ft,1st,0.0016618196925633569,0
Anaheim Ducks,36-42 ft,6-12 ft,1st,0.012131283755712504,0
Anaheim Ducks,36-42 ft,60-66 ft,1st,0.0007478188616535106,0
Anaheim Ducks,36-42 ft,66-72 ft,1st,0.0003323639385126714,0
Anaheim Ducks,36-42 ft,72-99 ft,1st,0.0004154549231408392,0
Anaheim Ducks,36-42 ft,0-6 ft,2nd,0.0026528130872112304,0
Anaheim Ducks,36-42 ft,12-18 ft,2nd,0.007958439261633692,0
Anaheim Ducks,36-42 ft,18-24 ft,2nd,0.004310821266718249,0
Anaheim Ducks,36-42 ft,24-30 ft,2nd,0.004089753509450647,0
Anaheim Ducks,36-42 ft,30-36 ft,2nd,0.0022106775726760254,0
Anaheim Ducks,36-42 ft,36-42 ft,2nd,0.0011053387863380127,0
